steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
350000	1748	6152.686120271683	-142.18148450219198	-118.65186225255056	75.11782976137972	-2.405009812303814	-247.00146664777964	-15.99715	-16.00746	0.18678774304687976	0.20740194208920001	340001	-1.2014683	0.016256805509328842
355000	1772	6253.46053981781	-106.42362338375649	-118.05468945049721	86.99282726132084	-0.4165128236838282	-244.15196961485339	-15.446836	-15.4685	0.35606126964092255	0.3824835588783026	345001	-1.0708083	0.016057787463068962
360000	1800	6340.259348630905	-154.00142116492697	-124.69132220312024	75.98075021304868	-2.171790916576868	-236.83815084762708	-15.070998	-15.025363	0.2820086815953255	0.2085222103074193	350001	-1.041612	0.014642097055912018
365000	1824	6435.119763851166	-120.4663222413392	-120.3041667590264	55.44314072148439	-2.144930167023455	-237.32444932741672	-14.515736	-14.514149	0.20459658097475766	0.1754905205592513	355001	-1.0789165	0.014496983028948307
370000	1848	6551.626673936844	-127.91766965502717	-119.2861525254862	61.56761683234026	-1.7895341495218857	-225.2531611992945	-15.680139	-15.660549	0.2184142491221428	0.2259119190275669	360001	-0.86591345	0.014305000193417072
375000	1872	6637.587697267532	-127.57616400216135	-123.79226788420044	98.96461903601885	-0.39775268250080825	-230.85759972745112	-14.22584	-14.296806	0.22941444464027883	0.17573181249201297	365001	-1.0230091	0.014061406254768372
380000	1900	6723.093967676163	-105.37985016478514	-120.48855092066172	100.40743701092222	-0.501807754991155	-243.66398324463154	-14.932871	-14.962939	0.2890737457573414	0.2524173830449581	370001	-1.0232685	0.013978950679302216
385000	1924	6808.599477767944	-177.51231974211913	-175.28779730857207	59.25695272689422	-118.52712557308236	-245.44819978336957	-16.320427	-16.310202	0.1711240043863654	0.19341977123171092	375001	-1.0116402	0.01423581037670374
390000	1948	6895.992719173431	-164.16477221695155	-123.5759702177794	57.096264899469254	-115.87758857357522	-242.94296830014133	-17.006287	-16.977713	0.19578573387116194	0.16174733929336071	380001	-1.0574733	0.012526779435575008
395000	1972	6982.517791032791	-134.89164872123342	-120.58224786653997	93.58026704619463	-0.6501666631528269	-289.2265208493911	-10.979714	-11.03583	0.19218434289097786	0.17542389441281558	385001	-0.80642533	0.01445968821644783
400000	2000	7068.352252244949	-152.5093823664461	-122.08599759493951	77.97852476457336	-0.06265084604164885	-239.71190748250683	-17.118437	-17.104559	0.1897535928338766	0.17431108858436345	390001	-1.2021725	0.011794397607445717
405000	2024	7157.290374040604	-161.70212144279387	-122.2269938332763	89.99582237793125	-2.5757027379655226	-309.3526766648993	-15.311473	-15.311262	0.14924009144306183	0.1815192249417305	395001	-1.0559719	0.014406186528503895
410000	2048	7248.608016252518	-129.17952031260774	-119.15155394540332	33.19657604971823	-113.6890227313286	-223.4835774560449	-15.947476	-15.930385	0.16943893667310475	0.14832487553358079	400001	-1.0152338	0.013332683593034744
415000	2072	7348.3356873989105	-115.83515092488922	-118.52844672759583	74.289457195735	-0.395804629645618	-225.94189055391743	-13.6219015	-13.632033	0.17129197891801595	0.1505021571740508	405001	-0.7674988	0.014901148155331612
